,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
1421,Diesel,342,2,0,"August 26, 2017",Recommended,167.2,"I have played Divinity Original Sin Enhanced Edition, It has to be one of the best games I have ever played in terms of provided content, coop, exploration and level of adaotation required in many of the opponents you encounter.  Despite Early Access being limited with content release, voice overs, maps and skills, the game has still successfully impressed me, there are so many variable options that allow you to make the story fit to your playstyle, you can so choose to go about quests however you choose....i.e if you need a key to save someone, you can pickpocket the person who has said key, instead of follow through with their demands.....and similar like things, combat is fantastic, the reconstruction of the AP system is amazing and works brilliantly, the way you memorise skills for fights and have the option to use any  combination of weapons you want is also a really nice touch. I personally find that the start can be very off-putting to players perhaps seeking a more casual playthrough, simply because good gear at the start is hard to find and it takes many hours to sift through enough quests and objectives and even area's just to progress to a stage where you feel ""comfortable"".   The only bad point that comes to mind after playing just under 30hrs, is that combat seems to be heavily based on a need to be the same or higher level than your opponent, I have found that despite having fairly good gear, if an opponent is even 1 level infront of me, the battle is very challanging and any hits you land seem to do very little damage...where as if I return, being the same level with the same gear, I can breeze through them, I am unsure if this is just early access stuff or the way they have chosen to go about combat.  Overall, I recommend both, they are extremely fun with friends and fit a varying style of game types like a mix of rpg and rts, stealth...all out, magic, melee, archery. And I enjoy that the game is not a straight line, sometimes you have to turn back and find the right gear, or adapt how you enter combat or return with skills that counter the enemies. If you made it this far....I only write reviews for games Im extremely impressed at...so for me - 10/10"
1422,Counter-Strike Jesus,48,2,0,"November 13, 2017",Recommended,255.8,10/10 game to play with the misses!
1423,Pretty Pretty Princess,167,2,0,"September 5, 2017",Recommended,272.2,"So easy to fall into this after playing the first DivOS:EE. Can't wait for the voice acting and other little updates that'll be released when the full game launches next week. What a great game already, and I'm only 5 hours in. Can't wait to rack up hundreds of hours and several playthroughs like I did with the first installment :)"
1424,Fred,24,2,0,"September 5, 2017",Recommended,196.5,"If you played the first game and enjoyed it even a bit, then you'll really love this one.  I've put 70 hours into the early access alone and I love everything about it.  The graphics are gorgeous, the story is intriguing and there's nothing you can't do. I usually don't like turn-based combat, but man do they make it fun here; So much thought goes into every move you make.  You have to outsmart your enemies (fantastic AI btw) by using the environment/elements to your advantage.  Honestly, if you like RPG's, this is a must-buy.  I really can't recommend this one enough."
1425,Ashe Boxx,436,2,0,"August 30, 2017",Recommended,135.0,A large improvement over the first that will gives hours upon hours of enjoyment with more possibilities to come from Game master mode and day 1 modding support.
1426,Brigador,393,2,0,"September 5, 2017",Recommended,265.6,"Brilliant tactical RPG with deep story, complete freedom and beautiful graphical engine. If you have even the slightest interest in tactical RPGs, it's that good, even in early access."
1427,Jax,92,2,0,"September 6, 2017",Recommended,97.5,17hrs into the early access and I can't wait for the release!
1428,Logan Handsome Pants,469,2,0,"September 5, 2017",Recommended,16.8,"How is it this good and only ""Alpha""... I don't even like turn based combat. Get this. make your friends get it. Play in a team and have a great time."
1429,Your Mom,173,2,0,"September 5, 2017",Recommended,240.6,Larian have done it again. Engaging story. Polished combat system. Great
1430,jkr000,40,2,0,"November 8, 2017",Recommended,327.6,"Arguably the best RPG I've played. No Micro transactions or any additional fees to play. Best when playing with another player (up to 3 additional players). Tons of lore, story, and ways to deal with most situations. Lots of freedom in how you want to play the game.   Downside is that combat isn't as frequent and leveling does tend to be on the slower side. You'll spend more time gearing up or chatting than doing anything else. Enemies, in general, are on the weaker side, so sometimes combat doesn't feel as rewarding.   Fun moments: -Trying to break into the ship's kitchen ends with the entire ship blowing up. -Battling asssassins in one motel room, while listening to npcs in another room talk about their love life.  -The moment my cousin and I realize the food we've been eating was made of the local law enforcement that continues to go missing.  -The moment my cousin and I realize what the gods were planning leading to a an epic betrayal of all betrayals.  -Failing to save a family from an execution leading to all out war in the oil fields.  -Realizing the badguys at the end had a very reasonable endgame to their scheme that would have led to the best kind of ending you could get in the game.  -Having my cousin backstab me as I attempt to take Divinity for myself (I won't forget this cuz. I hope you enjoy all those arrows in your face.).   Overall the experience was enjoyable. I cannot wait for a sequel to this game."
